Inbound Train No	Day No	Arriving time at receiving area	Receiving track No	Number of blocks    	Number of cars	Destination of blocks (number of cars)	Starting time of humping job	Ending time of humping job
i1	1	Day1,0:17	R1	19	30	AX(2);AR(4);AZ(1);AV(2);AY(2);AP(1);AD(1);AB(3);AJ(1);AM(1);AC(2);AN(2);AE(1);AG(1);BC(1);AW(1);AT(2);AK(1);AH(1);	Day1,1:2	Day1,1:15
i2	1	Day1,4:52	R1	23	50	AF(3);AW(8);AD(1);AX(3);BG(4);AK(2);AP(2);AI(1);BD(4);AU(2);AH(2);BF(2);AN(2);AY(2);AC(3);AS(1);AJ(2);AA(1);BE(1);AM(1);AV(1);BC(1);AL(1);	Day1,5:37	Day1,6:0
i4	1	Day1,7:12	R1	29	80	AJ(4);AK(3);AS(2);BD(2);AQ(3);AD(2);BG(3);AF(4);AE(2);AV(8);AA(3);AW(6);AZ(2);BF(1);BC(2);AN(2);AB(3);BE(3);AL(2);AH(2);AO(2);AC(2);AX(3);AU(1);AY(3);BB(1);AP(5);AR(2);AM(2);	Day1,7:57	Day1,8:33
i3	1	Day1,5:49	R2	19	30	AC(1);AX(2);AF(2);AK(2);AA(4);AV(1);BG(2);AD(4);AZ(1);AL(1);BB(1);AM(1);AR(1);AS(1);AY(1);AH(2);AW(1);AJ(1);AT(1);	Day1,8:43	Day1,8:57
i6	1	Day1,9:0	R1	28	70	AW(9);BG(2);AP(7);AK(6);AR(1);BE(1);AD(3);AX(2);AT(1);AU(1);AO(2);AS(1);BF(2);AH(10);AZ(3);AN(1);AQ(1);AB(2);AJ(3);AL(1);AV(2);AF(2);BD(2);BA(1);AI(1);AE(1);AC(1);AM(1);	Day1,9:45	Day1,10:16
i7	1	Day1,9:22	R2	22	50	AD(1);BE(2);AB(3);AP(3);AH(5);AV(6);AX(2);AQ(2);AW(5);BG(2);AI(1);AJ(3);AC(1);AR(2);AK(3);AF(3);AE(1);BC(1);BF(1);AN(1);AY(1);BA(1);	Day1,10:26	Day1,10:49
i8	1	Day1,9:53	R1	28	60	AL(2);AX(6);AV(3);AW(1);AR(2);AP(3);AH(7);AA(1);AM(1);AB(2);AI(1);AC(3);AJ(3);BD(1);AS(1);AE(2);BF(2);AU(1);AN(2);AD(2);AK(5);BG(1);BE(3);AZ(1);BB(1);AT(1);BC(1);AF(1);	Day1,10:59	Day1,11:26
i5	1	Day1,8:42	R3	24	50	AV(5);AR(1);BG(2);AQ(4);AH(3);AB(3);AI(2);AK(2);AW(3);AP(3);AX(1);AA(3);AO(1);AJ(1);AC(3);AY(2);BE(2);AN(2);AE(2);AM(1);AT(1);AD(1);AS(1);AF(1);	Day1,11:36	Day1,11:59
i10	1	Day1,14:2	R2	27	70	AY(5);AD(7);AE(2);AR(3);BG(2);BD(3);AG(1);AV(2);AB(1);AC(4);AM(3);AH(5);AK(4);AP(2);AJ(3);AX(2);BA(2);BC(1);AS(1);AW(5);AN(2);BF(2);BB(1);AQ(2);AU(3);AZ(1);AI(1);	Day1,14:47	Day1,15:19
i9	1	Day1,13:50	R4	24	50	BE(1);AM(1);AS(3);AY(2);AP(7);AV(3);BF(4);AW(2);AE(1);BD(3);BB(1);AK(3);AR(3);AL(2);AG(2);AX(1);AN(3);BG(1);AF(1);AH(1);AJ(1);AA(2);AQ(1);BA(1);	Day1,15:29	Day1,15:51
